time,ci_1,high,low
2019-01-31 16:05:00,0.22208185615176682,415.861379423705,128.79975694576967
2019-01-31 16:10:00,0.32734756832732975,415.861379423705,115.34674448108213
2019-01-31 16:15:00,0.28820118173643566,415.861379423705,137.51338872854382
2019-01-31 16:20:00,0.11209717469215998,415.861379423705,145.14314473961016
2019-01-31 16:25:00,0.3075805681076288,415.861379423705,141.29500358623216
2019-01-31 16:30:00,0.39384150530808526,415.861379423705,146.1601896717206
2019-01-31 16:35:00,0.3034425126511576,415.861379423705,144.9369306157673
2019-01-31 16:40:00,0.30688726795517834,415.861379423705,151.53335620881788
2019-01-31 16:45:00,0.27870416343081483,415.861379423705,154.24821067601272
2019-01-31 16:50:00,0.3911399943890125,415.861379423705,152.33213926044294
2019-01-31 16:55:00,0.43554891846836435,415.861379423705,150.81226367713577
2019-01-31 17:00:00,0.37273478686666983,415.861379423705,152.17300155438593
2019-01-31 17:05:00,0.3633062998764825,415.861379423705,151.05236282178285
2019-01-31 17:10:00,0.4038215796432587,415.861379423705,149.9518911179964
2019-01-31 17:15:00,0.3764097702087111,415.861379423705,153.9814419473535
2019-01-31 17:20:00,0.4098578157030121,415.861379423705,153.7100877747377
2019-01-31 17:25:00,0.3723226445902878,415.861379423705,154.38731709700468
2019-01-31 17:30:00,0.5208124877994004,415.861379423705,153.8092789828631
2019-01-31 17:35:00,0.4743342535893095,415.861379423705,153.83184975666484
2019-01-31 17:40:00,0.6021563751399457,415.861379423705,152.06172351160808
2019-01-31 17:45:00,0.7096339293421399,415.861379423705,152.70511558042998
2019-01-31 17:50:00,0.6042412539330865,415.861379423705,151.5576279637897
2019-01-31 17:55:00,0.5357230692037087,415.861379423705,151.67271363511887
2019-01-31 18:00:00,0.4398901248735949,415.861379423705,148.8913793508809
2019-01-31 18:05:00,0.6500466012072215,415.861379423705,146.42722573150266
2019-01-31 18:10:00,0.6779828180292169,415.861379423705,143.78450261014822
2019-01-31 18:15:00,0.7075908644154166,415.861379423705,145.17759320399713
2019-01-31 18:20:00,0.5837618921041106,415.861379423705,141.66412725415356
2019-01-31 18:25:00,0.606995608412715,415.861379423705,138.64646441420328
2019-01-31 18:30:00,0.6068187354730552,415.861379423705,139.59477721491703
2019-01-31 18:35:00,0.6500027177935775,415.861379423705,138.87498785658104
2019-01-31 18:40:00,0.5443966862961034,415.861379423705,135.93965926628778
2019-01-31 18:50:00,0.684776440353532,415.861379423705,133.75253287216654
2019-01-31 18:55:00,0.4842324122302318,415.861379423705,132.4340087474136
2019-01-31 19:00:00,0.47814923280713895,415.861379423705,130.55371786944158
2019-01-31 19:05:00,0.629921589219891,415.861379423705,129.3605390272506
2019-01-31 19:10:00,0.5735887527988237,415.861379423705,127.43301331029231
2019-01-31 19:15:00,0.5013531206172389,415.861379423705,125.6972945779459
2019-01-31 19:20:00,0.45396347488838135,415.861379423705,123.94896426067498
2019-01-31 19:25:00,0.5589790224847162,415.861379423705,122.71367814217125
2019-01-31 19:30:00,0.4561329305982475,415.861379423705,119.90526886492448
2019-01-31 19:35:00,0.525162051237691,415.861379423705,120.40623521999645
2019-01-31 19:40:00,0.51591657668776,415.861379423705,115.92520196075553
2019-01-31 19:45:00,0.4842344674144939,415.861379423705,116.82531216546296
2019-01-31 19:50:00,0.5214439538300999,415.861379423705,115.1821974136047
2019-01-31 19:55:00,0.48421309053544404,415.861379423705,113.37730308949527
2019-01-31 20:00:00,0.4881494449925912,415.861379423705,113.68848530077922
2019-01-31 20:05:00,0.4213948031673418,415.861379423705,112.44800217990273
2019-01-31 20:10:00,0.10485404655776864,415.861379423705,109.80388172424706
2019-01-31 20:15:00,-0.006271419039898153,415.861379423705,108.91465124698966
2019-01-31 20:20:00,0.019126158790838833,415.861379423705,107.44961093055461
2019-01-31 20:25:00,0.10516514158695212,415.861379423705,107.14368438676108
2019-01-31 20:30:00,0.09156213296746728,415.861379423705,103.70755686922918
2019-01-31 20:35:00,0.19624637112926005,415.861379423705,102.7533062864649
2019-01-31 20:40:00,0.10324613203296171,415.861379423705,102.6262576816586
2019-01-31 20:45:00,0.09115645729024409,415.861379423705,102.93005512417464
2019-01-31 20:50:00,0.07817684767757398,415.861379423705,100.283687493191
2019-01-31 20:55:00,0.09510025253483242,415.861379423705,100.12178075278462
2019-01-31 21:00:00,0.005082185798246836,415.861379423705,98.76371604759066
2019-01-31 21:05:00,0.028951481881581972,415.861379423705,96.83813417504409
2019-01-31 21:10:00,-0.00965471794982269,415.861379423705,95.16602863657444
2019-01-31 21:15:00,-0.08593395905023332,415.861379423705,95.97529663371449
2019-01-31 21:20:00,-0.062463950028288515,415.861379423705,93.37766474020475
2019-01-31 21:25:00,-0.05712460586947076,415.861379423705,91.9471551097605
2019-01-31 21:30:00,-0.06580927021582704,415.861379423705,91.56561931489632
2019-01-31 21:35:00,0.0019416919582966202,415.861379423705,90.41707660574296
2019-01-31 21:40:00,0.04876333061480899,415.861379423705,90.1686291458708
2019-01-31 21:45:00,0.06347740924612968,415.861379423705,88.0795646433608
2019-01-31 21:50:00,0.10330179619692945,415.861379423705,88.14278566016104
2019-01-31 21:55:00,0.5861608096065152,415.861379423705,86.92000853212596
2019-01-31 22:00:00,0.3862886141761205,415.861379423705,85.56847059496171
2019-01-31 22:05:00,0.3495909890996478,415.861379423705,84.96398844543683
2019-01-31 22:10:00,0.4777323301268564,415.861379423705,83.84408594007408
2019-01-31 22:15:00,0.4220489320198622,415.861379423705,84.05711113909815
2019-01-31 22:20:00,0.41246377867218825,415.861379423705,83.57337141137425
