time,time,ci,high,low
2019-01-01 16:05:00,2019-01-01 16:05:00,0.00786130719327824,543.5376836172104,243.2981147526915
2019-01-01 16:10:00,2019-01-01 16:10:00,0.0737634859333634,543.5376836172104,220.8838211935179
2019-01-01 16:15:00,2019-01-01 16:15:00,0.019996143312429746,543.5376836172104,237.9208321942173
2019-01-01 16:20:00,2019-01-01 16:20:00,0.005286567095844607,543.5376836172104,242.06577127436103
2019-01-01 16:25:00,2019-01-01 16:25:00,0.01706117646872683,543.5376836172104,238.32433374102382
2019-01-01 16:30:00,2019-01-01 16:30:00,0.006506429632211472,543.5376836172104,241.65571773473314
2019-01-01 16:35:00,2019-01-01 16:35:00,0.005678212147855325,543.5376836172104,237.69174220638865
2019-01-01 16:40:00,2019-01-01 16:40:00,0.004723988252979923,543.5376836172104,238.5932143829059
2019-01-01 16:45:00,2019-01-01 16:45:00,0.013663531899463118,543.5376836172104,234.4688983868051
2019-01-01 16:50:00,2019-01-01 16:50:00,0.006010461596131004,543.5376836172104,233.71784742619548
2019-01-01 16:55:00,2019-01-01 16:55:00,0.008978132272588483,543.5376836172104,231.99380714717628
2019-01-01 17:00:00,2019-01-01 17:00:00,0.006170942435344542,543.5376836172104,230.36031628490267
2019-01-01 17:05:00,2019-01-01 17:05:00,0.0007255649869561901,543.5376836172104,229.85844870387663
2019-01-01 17:10:00,2019-01-01 17:10:00,-0.0025721472987413853,543.5376836172104,228.9538908728871
2019-01-01 17:15:00,2019-01-01 17:15:00,-0.000987734329007605,543.5376836172104,226.7599125692234
2019-01-01 17:20:00,2019-01-01 17:20:00,-0.004995786298953496,543.5376836172104,224.82307035715
2019-01-01 17:25:00,2019-01-01 17:25:00,0.0029162950760034537,543.5376836172104,222.7738064260831
2019-01-01 17:30:00,2019-01-01 17:30:00,-8.606299447855394e-05,543.5376836172104,219.3201265957169
2019-01-01 17:35:00,2019-01-01 17:35:00,0.00040882989124934883,543.5376836172104,218.33313155891832
2019-01-01 17:40:00,2019-01-01 17:40:00,0.00502700538264715,543.5376836172104,214.54016514762984
2019-01-01 17:45:00,2019-01-01 17:45:00,0.0009012655727141569,543.5376836172104,212.25013873793728
2019-01-01 17:50:00,2019-01-01 17:50:00,0.0008948856433554788,543.5376836172104,210.41486855550178
2019-01-01 17:55:00,2019-01-01 17:55:00,-0.0007835091606823633,543.5376836172104,207.78905623479568
2019-01-01 18:00:00,2019-01-01 18:00:00,0.004027010322413773,543.5376836172104,204.70798556249076
2019-01-01 18:05:00,2019-01-01 18:05:00,0.001412998416492743,543.5376836172104,202.80770028359356
2019-01-01 18:10:00,2019-01-01 18:10:00,0.0007340004815691123,543.5376836172104,200.44841404308917
2019-01-01 18:15:00,2019-01-01 18:15:00,0.002488496322539629,543.5376836172104,197.43337146906302
2019-01-01 18:20:00,2019-01-01 18:20:00,0.003760169925869768,543.5376836172104,194.750933516338
2019-01-01 18:25:00,2019-01-01 18:25:00,0.01065194293625424,543.5376836172104,190.23124664894692
2019-01-01 18:30:00,2019-01-01 18:30:00,0.010081791946985325,543.5376836172104,189.9299906869197
2019-01-01 18:35:00,2019-01-01 18:35:00,0.0021758548195954103,543.5376836172104,188.14903573517373
2019-01-01 18:40:00,2019-01-01 18:40:00,0.00037164784853794083,543.5376836172104,185.7949181933553
2019-01-01 18:45:00,2019-01-01 18:45:00,0.002207459774963156,543.5376836172104,183.6727223114339
2019-01-01 18:50:00,2019-01-01 18:50:00,0.00428073138710863,543.5376836172104,181.58671860711956
2019-01-01 18:55:00,2019-01-01 18:55:00,0.0041625623141947725,543.5376836172104,179.0561538541906
2019-01-01 19:00:00,2019-01-01 19:00:00,0.002928701947668336,543.5376836172104,175.72167037753263
2019-01-01 19:05:00,2019-01-01 19:05:00,0.0012762105932250848,543.5376836172104,175.38370355498614
2019-01-01 19:10:00,2019-01-01 19:10:00,0.005311831465264773,543.5376836172104,171.70961088236223
2019-01-01 19:15:00,2019-01-01 19:15:00,0.0033581298762641373,543.5376836172104,170.38302394166433
2019-01-01 19:20:00,2019-01-01 19:20:00,0.0053064917779803164,543.5376836172104,167.7087299747495
2019-01-01 19:25:00,2019-01-01 19:25:00,0.005167824207301799,543.5376836172104,165.92983399745012
2019-01-01 19:30:00,2019-01-01 19:30:00,0.0034933162031432624,543.5376836172104,163.52107147126102
2019-01-01 19:35:00,2019-01-01 19:35:00,0.006867811729607137,543.5376836172104,161.93513212273896
2019-01-01 19:40:00,2019-01-01 19:40:00,0.0074581846340005835,543.5376836172104,158.86238813893337
2019-01-01 19:45:00,2019-01-01 19:45:00,0.0044222142091014495,543.5376836172104,158.61725019915295
2019-01-01 19:50:00,2019-01-01 19:50:00,0.006821293402470281,543.5376836172104,156.3607023001831
2019-01-01 19:55:00,2019-01-01 19:55:00,0.004870034459174564,543.5376836172104,154.56756230755613
2019-01-01 20:00:00,2019-01-01 20:00:00,0.004757674375491492,543.5376836172104,153.4686641849262
2019-01-01 20:05:00,2019-01-01 20:05:00,0.00291391878955152,543.5376836172104,151.81512632864963
2019-01-01 20:10:00,2019-01-01 20:10:00,0.005979966529027639,543.5376836172104,149.63381552175989
2019-01-01 20:15:00,2019-01-01 20:15:00,0.007423874609959491,543.5376836172104,148.17074824533117
2019-01-01 20:20:00,2019-01-01 20:20:00,0.002160215992684307,543.5376836172104,146.7893807357907
2019-01-01 20:25:00,2019-01-01 20:25:00,0.004547591499340127,543.5376836172104,145.10497047893355
2019-01-01 20:30:00,2019-01-01 20:30:00,0.0051109046757784205,543.5376836172104,142.87824420799222
