time,time,ci
2019-01-01 22:35:00,2019-01-01 22:35:00,0.005806080846871566
2019-01-01 22:40:00,2019-01-01 22:40:00,0.007894270493303015
2019-01-01 22:45:00,2019-01-01 22:45:00,0.013835338245510352
2019-01-01 22:50:00,2019-01-01 22:50:00,0.013892550604580712
2019-01-01 22:55:00,2019-01-01 22:55:00,0.010885142983380133
2019-01-01 23:00:00,2019-01-01 23:00:00,0.017601698202548133
2019-01-01 23:05:00,2019-01-01 23:05:00,0.017735658821239106
2019-01-01 23:10:00,2019-01-01 23:10:00,0.01934456306130381
2019-01-01 23:15:00,2019-01-01 23:15:00,0.02186468918189838
2019-01-01 23:20:00,2019-01-01 23:20:00,0.02712776037322131
2019-01-01 23:25:00,2019-01-01 23:25:00,0.024794116523310344
2019-01-01 23:30:00,2019-01-01 23:30:00,0.024630303311091565
2019-01-02 16:05:00,2019-01-02 16:05:00,0.01793705240473205
2019-01-02 16:10:00,2019-01-02 16:10:00,0.08259986895166599
2019-01-02 16:15:00,2019-01-02 16:15:00,0.028817437962137375
2019-01-02 16:20:00,2019-01-02 16:20:00,0.01376754251846951
2019-01-02 16:25:00,2019-01-02 16:25:00,0.025026430195340565
2019-01-02 16:30:00,2019-01-02 16:30:00,0.0065006272158304
2019-01-02 16:35:00,2019-01-02 16:35:00,0.020226402506312243
2019-01-02 16:40:00,2019-01-02 16:40:00,0.011670340684363574
2019-01-02 16:45:00,2019-01-02 16:45:00,0.020235523068999464
2019-01-02 16:50:00,2019-01-02 16:50:00,0.012309708920170807
2019-01-02 16:55:00,2019-01-02 16:55:00,0.01500468699539102
2019-01-02 17:00:00,2019-01-02 17:00:00,0.011949270131918233
2019-01-02 17:05:00,2019-01-02 17:05:00,0.006293779969456622
2019-01-02 17:10:00,2019-01-02 17:10:00,0.002793715582487199
2019-01-02 17:15:00,2019-01-02 17:15:00,0.009790572334336977
2019-01-02 17:20:00,2019-01-02 17:20:00,0.005437502934840369
2019-01-02 17:25:00,2019-01-02 17:25:00,-0.0029357953634504366
2019-01-02 17:30:00,2019-01-02 17:30:00,0.009670890571535667
2019-01-02 17:35:00,2019-01-02 17:35:00,0.00486453205202718
2019-01-02 17:40:00,2019-01-02 17:40:00,0.009313729980417034
2019-01-02 17:45:00,2019-01-02 17:45:00,0.005052990068910258
2019-01-02 17:50:00,2019-01-02 17:50:00,0.004920558794142159
2019-01-02 17:55:00,2019-01-02 17:55:00,0.007690237934318011
2019-01-02 18:00:00,2019-01-02 18:00:00,0.007803106251386231
2019-01-02 18:05:00,2019-01-02 18:05:00,0.00508757806891404
2019-01-02 18:10:00,2019-01-02 18:10:00,0.004307901198945526
2019-01-02 18:15:00,2019-01-02 18:15:00,0.005960630653427129
2019-01-02 18:20:00,2019-01-02 18:20:00,0.007139301664258383
2019-01-02 18:25:00,2019-01-02 18:25:00,0.009895921909000634
