time,Channel,1x1,3x3,5x5,kappa0,time,round_time_1min,round_time_5min
1/1/2019 0:04,C02,10.635601,9.983610333,10.17812338,0.001862,1/1/2019 0:04,1/1/2019 0:05,1/1/2019 0:05
1/1/2019 0:09,C02,8.098124,8.750114111,8.976481077,0.001862,1/1/2019 0:09,1/1/2019 0:10,1/1/2019 0:10
1/1/2019 0:14,C02,8.256716,8.30958,8.281114615,0.001862,1/1/2019 0:14,1/1/2019 0:15,1/1/2019 0:15
1/1/2019 0:19,C02,6.670792,6.847005556,7.103871154,0.001862,1/1/2019 0:19,1/1/2019 0:20,1/1/2019 0:20
1/1/2019 0:24,C02,5.877831,5.507782111,5.542346731,0.001862,1/1/2019 0:24,1/1/2019 0:25,1/1/2019 0:25
1/1/2019 0:29,C02,3.498945,4.045207444,4.255308308,0.001862,1/1/2019 0:29,1/1/2019 0:30,1/1/2019 0:30
1/1/2019 0:34,C02,3.974722,3.481323222,3.437947769,0.001862,1/1/2019 0:34,1/1/2019 0:35,1/1/2019 0:35
1/1/2019 0:39,C02,1.12006,2.300690889,2.425395962,0.001862,1/1/2019 0:39,1/1/2019 0:40,1/1/2019 0:40
1/1/2019 0:44,C02,1.754429,1.331515667,1.345748308,0.001862,1/1/2019 0:44,1/1/2019 0:45,1/1/2019 0:45
1/1/2019 0:49,C02,0.485689,0.556174778,0.571085462,0.001862,1/1/2019 0:49,1/1/2019 0:50,1/1/2019 0:50
1/1/2019 0:54,C02,0.168505,0.327097,0.394193808,0.001862,1/1/2019 0:54,1/1/2019 0:55,1/1/2019 0:55
1/1/2019 0:59,C02,-0.307272,-0.042951556,-0.069383654,0.001862,1/1/2019 0:59,1/1/2019 1:00,1/1/2019 1:00
1/1/2019 1:04,C02,0.009912,-0.166301222,-0.124280962,0.001862,1/1/2019 1:04,1/1/2019 1:05,1/1/2019 1:05
1/1/2019 1:09,C02,-0.307272,0.080397889,0.077009231,0.001862,1/1/2019 1:09,1/1/2019 1:10,1/1/2019 1:10
1/1/2019 1:14,C02,-0.14868,-0.025330333,-0.002286923,0.001862,1/1/2019 1:14,1/1/2019 1:15,1/1/2019 1:15
1/1/2019 1:19,C02,0.009912,0.168504444,0.022111731,0.001862,1/1/2019 1:19,1/1/2019 1:20,1/1/2019 1:20
1/1/2019 1:24,C02,0.168505,-0.148679889,-0.191377731,0.001862,1/1/2019 1:24,1/1/2019 1:25,1/1/2019 1:25
1/1/2019 1:29,C02,0.485689,-0.042951889,-0.002287115,0.001862,1/1/2019 1:29,1/1/2019 1:30,1/1/2019 1:30
1/1/2019 1:34,C02,0.327097,0.027533667,-0.044984923,0.001862,1/1/2019 1:34,1/1/2019 1:35,1/1/2019 1:35
1/1/2019 1:39,C02,0.009912,0.115640667,0.052610423,0.001862,1/1/2019 1:39,1/1/2019 1:40,1/1/2019 1:40
1/1/2019 1:44,C02,-0.465864,-0.131058333,-0.0693835,0.001862,1/1/2019 1:44,1/1/2019 1:45,1/1/2019 1:45
1/1/2019 1:49,C02,-0.465864,-0.166301111,-0.081583038,0.001862,1/1/2019 1:49,1/1/2019 1:50,1/1/2019 1:50
1/1/2019 1:54,C02,0.327097,-0.060572889,-0.020586038,0.001862,1/1/2019 1:54,1/1/2019 1:55,1/1/2019 1:55
1/1/2019 1:59,C02,-0.624456,-0.095815667,0.058710077,0.001862,1/1/2019 1:59,1/1/2019 2:00,1/1/2019 2:00
1/1/2019 2:04,C02,0.644281,0.027533667,-0.160879269,0.001862,1/1/2019 2:04,1/1/2019 2:05,1/1/2019 2:05
1/1/2019 2:09,C02,0.168505,-0.042951667,-0.038885192,0.001862,1/1/2019 2:09,1/1/2019 2:10,1/1/2019 2:10
1/1/2019 2:14,C02,-0.624456,-0.219165333,0.089208462,0.001862,1/1/2019 2:14,1/1/2019 2:15,1/1/2019 2:15
1/1/2019 2:19,C02,0.485689,0.186126,-0.093782538,0.001862,1/1/2019 2:19,1/1/2019 2:20,1/1/2019 2:20
1/1/2019 2:24,C02,-0.307272,-0.007709,0.046510692,0.001862,1/1/2019 2:24,1/1/2019 2:25,1/1/2019 2:25
1/1/2019 2:29,C02,0.327097,-0.219165333,-0.112081731,0.001862,1/1/2019 2:29,1/1/2019 2:30,1/1/2019 2:30
1/1/2019 2:34,C02,0.009912,0.168504556,0.022111808,0.001862,1/1/2019 2:34,1/1/2019 2:35,1/1/2019 2:35
1/1/2019 2:39,C02,-0.307272,-0.148679667,0.016012115,0.001862,1/1/2019 2:39,1/1/2019 2:40,1/1/2019 2:40
