time,Channel,1x1,3x3,5x5,kappa0,time,round_time_1min,round_time_5min
1/1/2019 0:04,C03,4.92342,5.258453556,5.619259,0.0031739,1/1/2019 0:04,1/1/2019 0:05,1/1/2019 0:05
1/1/2019 0:09,C03,4.546509,4.755904,4.879930731,0.0031739,1/1/2019 0:09,1/1/2019 0:10,1/1/2019 0:10
1/1/2019 0:14,C03,4.169596,4.420870556,4.474024962,0.0031739,1/1/2019 0:14,1/1/2019 0:15,1/1/2019 0:15
1/1/2019 0:19,C03,3.792683,4.462749444,4.662481115,0.0031739,1/1/2019 0:19,1/1/2019 0:20,1/1/2019 0:20
1/1/2019 0:24,C03,3.038858,2.913220333,2.966374615,0.0031739,1/1/2019 0:24,1/1/2019 0:25,1/1/2019 0:25
1/1/2019 0:29,C03,2.285033,2.285033,2.299529577,0.0031739,1/1/2019 0:29,1/1/2019 0:30,1/1/2019 0:30
1/1/2019 0:34,C03,1.90812,1.90812,1.937113308,0.0031739,1/1/2019 0:34,1/1/2019 0:35,1/1/2019 0:35
1/1/2019 0:39,C03,1.531208,1.531208,1.516711346,0.0031739,1/1/2019 0:39,1/1/2019 0:40,1/1/2019 0:40
1/1/2019 0:44,C03,1.154295,1.279932667,1.226778269,0.0031739,1/1/2019 0:44,1/1/2019 0:45,1/1/2019 0:45
1/1/2019 0:49,C03,0.777383,0.861141222,0.820872846,0.0031739,1/1/2019 0:49,1/1/2019 0:50,1/1/2019 0:50
1/1/2019 0:54,C03,0.40047,0.40047,0.356980154,0.0031739,1/1/2019 0:54,1/1/2019 0:55,1/1/2019 0:55
1/1/2019 0:59,C03,0.40047,0.358590889,0.298993692,0.0031739,1/1/2019 0:59,1/1/2019 1:00,1/1/2019 1:00
1/1/2019 1:04,C03,0.023558,0.065437111,0.067047846,0.0031739,1/1/2019 1:04,1/1/2019 1:05,1/1/2019 1:05
1/1/2019 1:09,C03,0.023558,-0.018321111,-0.019931846,0.0031739,1/1/2019 1:09,1/1/2019 1:10,1/1/2019 1:10
1/1/2019 1:14,C03,0.023558,0.023558,0.023558,0.0031739,1/1/2019 1:14,1/1/2019 1:15,1/1/2019 1:15
1/1/2019 1:19,C03,0.023558,-0.018321111,0.023558,0.0031739,1/1/2019 1:19,1/1/2019 1:20,1/1/2019 1:20
1/1/2019 1:24,C03,0.023558,0.023558,0.038054615,0.0031739,1/1/2019 1:24,1/1/2019 1:25,1/1/2019 1:25
1/1/2019 1:29,C03,0.023558,0.023558,0.038054615,0.0031739,1/1/2019 1:29,1/1/2019 1:30,1/1/2019 1:30
